RESERVATIONID,CUSTOMERID
RES-000001,MAR1001
RES-000002,DOE1002
RES-000003,ROD1003
RES-000004,WAS1004
RES-000005,BRO1005
RES-000006,SAN1006
RES-000007,LON1007
RES-000008,COL1008
RES-000009,TRA1009
RES-000010,HIL1010
RES-000011,TUR1011
RES-000012,PAT1012
RES-000013,ADA1013
RES-000014,AND1014
RES-000015,JAM1015
RES-000016,CAR1016
RES-000017,COO1017
RES-000018,EDW1018
RES-000019,PER1019
RES-000020,WAL1020
RES-000021,WAT1021
RES-000022,WAR1022
RES-000023,RIC1023
RES-000024,HOW1024
RES-000025,CAM1025
RES-000026,HUG1026
RES-000027,DO1027
RES-000028,PAR1028
RES-000029,GUR1029
RES-000030,GAY1030
RES-000031,MAR1031
RES-000032,KEL1032
RES-000033,ALL1033
RES-000034,LE1034
RES-000035,MUR1035
RES-000036,TOR1036
RES-000037,BAI1037
RES-000038,TAY1038
RES-000039,GRA1039
RES-000040,ROG1040
RES-000041,BAK1041
RES-000042,VO1042
RES-000043,TRA1043
RES-000044,LOP1044
RES-000045,NGU1045
RES-000046,JOH1046
RES-000047,COX1047
RES-000048,HEN1048
RES-000049,FLO1049
RES-000050,GRE1050
RES-000051,BAR1051
RES-000052,STE1052
RES-000053,ELL1053
RES-000054,YOU1054
RES-000055,PHA1055
RES-000056,ROS1056
RES-000057,WIL1057
RES-000058,LEE1058
RES-000059,MOR1059
RES-000060,COL1060
RES-000061,TRA1061
RES-000062,GON1062
RES-000063,PRI1063
RES-000064,DAV1064
RES-000065,EVA1065
RES-000066,PER1066
RES-000067,JEN1067
RES-000068,SCO1068
RES-000069,NGU1069
RES-000070,BEN1070
RES-000071,NEL1071
RES-000072,PHI1072
RES-000073,MIT1073
RES-000074,HAL1074
RES-000075,WIL1075
RES-000076,MIL1076
RES-000077,KIN1077
RES-000078,PET1078
RES-000079,POW1079
RES-000080,LEW1080
RES-000081,MOO1081
RES-000082,REE1082
RES-000083,GAR1083
RES-000084,COO1084
RES-000085,ROB1085
RES-000086,RIV1086
RES-000087,SMI1087
RES-000088,HOA1088
RES-000089,RAM1089
RES-000090,SAN1090
RES-000091,THO1091
RES-000092,CHE1092
RES-000093,HER1093
RES-000094,WOO1094
RES-000095,BRO1095
RES-000096,JON1096
RES-000097,PHA1097
RES-000098,CLA1098
RES-000099,WRI1099
RES-000100,BEL1100
